timestamp,min_front_range_m
1.496,2.6690
1.497,2.6690
2.065,2.6852
2.621,2.6760
3.177,2.6931
3.737,2.6791
4.279,2.7058
4.963,2.6979
5.557,2.6912
6.157,2.6864
6.736,2.6881
7.275,2.6955
7.823,2.6824
8.398,2.6806
8.950,2.6833
9.508,2.6499
10.076,2.6836
10.641,2.6750
11.192,2.7001
11.735,2.6793
12.369,2.6890
13.161,2.6962
13.709,2.6837
14.463,2.6736
15.060,2.7099
15.652,2.6884
16.315,2.6899
17.083,2.7000
17.840,2.6763
18.563,2.6704
19.241,2.6822
19.767,2.6969
20.387,2.6663
20.912,2.6915
21.602,2.6774
22.257,2.6890
22.865,2.7031
23.498,2.6638
24.046,2.6870
24.594,2.6756
25.184,2.6563
25.774,2.6519
26.347,2.6716
26.938,2.6467
27.507,2.6811
28.032,2.6923
28.573,2.6677
29.161,2.6659
29.758,2.6613
30.296,2.6599
30.863,2.6554
31.401,2.6613
31.984,2.6630
32.553,2.6747
33.130,2.6581
33.796,2.6683
34.391,2.6455
34.931,2.6567
35.472,2.6423
36.006,2.6549
36.610,2.6466
37.145,2.6323
37.688,2.6420
38.289,2.6448
39.029,2.6424
39.565,2.6257
40.122,2.6456
40.691,2.6336
41.232,2.6274
41.790,2.6330
42.349,2.6372
42.890,2.6359
43.429,2.6309
43.987,2.6429
44.534,2.6173
45.082,2.6480
45.609,2.6310
46.320,2.6341
47.100,2.6445
47.643,2.6313
48.179,2.6366
48.715,2.6317
49.240,2.6185
49.798,2.6360
50.379,2.6207
50.919,2.6195
51.551,2.6177
52.085,2.6454
52.653,2.6264
53.199,2.6290
53.757,2.6102
54.299,2.6157
54.845,2.6224
55.424,2.6171
55.978,2.6126
56.696,2.6253
57.269,2.6161
57.963,2.6370
58.532,2.6207
59.176,2.5775
60.034,2.5641
60.697,2.7386
61.287,3.7859
62.090,4.7525
62.646,4.7338
63.219,5.1965
63.775,5.0405
64.335,5.0336
64.901,5.0502
65.457,5.0525
66.017,5.0766
66.584,5.0853
67.117,4.8499
67.703,4.5121
68.291,4.3823
68.840,4.3710
69.389,4.4002
69.965,4.4346
70.541,4.4575
71.123,2.7049
71.670,2.5903
72.303,2.5903
72.863,2.5866
73.463,2.2320
74.014,2.1963
74.551,2.1761
75.093,2.1691
75.661,2.1591
76.211,1.9397
76.843,1.7691
77.520,1.7389
78.131,1.7113
78.795,1.6850
79.417,1.6455
79.961,2.1704
80.529,4.1235
81.101,4.1084
81.664,4.1014
82.224,5.4407
82.884,5.4053
83.415,5.4372
83.973,5.4494
84.597,5.4565
85.184,5.4643
85.717,5.6192
86.313,5.3593
86.872,5.1757
87.410,5.1544
87.985,5.1742
88.551,5.2237
89.120,2.8490
89.695,2.8805
90.228,2.8971
90.784,1.9406
91.332,1.8366
91.882,1.8605
92.442,1.8438
92.990,1.8257
93.568,2.1191
94.168,1.3386
94.747,1.0207
95.304,0.8892
95.851,0.8548
96.560,0.8465
97.245,0.8160
97.818,0.7933
98.434,0.8748
99.000,1.3660
99.708,3.5376
100.270,3.5001
100.838,3.5883
101.414,5.8135
101.947,5.8214
102.497,5.8425
103.027,5.8541
103.590,5.8613
104.224,6.0285
104.855,6.1555
105.415,5.9196
105.961,5.9318
106.527,5.9482
107.058,3.2913
107.626,3.3215
108.196,1.8425
108.777,1.8107
109.324,1.7916
109.927,1.7326
110.683,1.6632
111.236,1.5833
111.933,1.8985
112.519,2.7255
113.164,1.1242
113.765,0.9552
114.377,0.9018
114.915,0.8944
115.504,0.9043
116.028,0.9741
116.582,1.0463
117.144,1.1013
117.699,1.1491
118.276,1.2749
118.813,6.8749
119.346,6.9407
119.904,6.9933
120.421,7.0384
120.966,5.9033
121.525,5.2762
122.065,5.0280
122.601,1.9499
123.161,1.9066
123.935,1.8818
124.521,1.4742
125.160,1.4399
125.712,1.4356
126.264,0.3495
126.816,0.3642
127.458,0.3893
128.135,0.4099
128.750,0.4264
129.368,0.4526
129.900,0.4718
130.458,0.5390
131.021,0.6743
131.621,2.1701
132.162,2.2046
132.705,2.2271
133.259,2.2928
133.839,5.4967
134.419,6.9721
134.943,6.9555
135.489,6.9415
136.049,5.3427
136.730,4.5331
137.282,4.1209
137.945,3.9725
138.554,1.0689
139.101,1.0024
139.658,0.9910
140.337,0.9641
140.895,0.9258
141.508,0.9059
142.067,0.9059
142.627,1.4170
143.164,1.4342
143.708,1.4497
144.274,1.4536
144.840,1.4272
145.415,1.4594
145.944,1.4922
146.559,1.5306
147.104,3.0974
147.648,3.1448
148.417,3.4677
148.994,6.2131
149.531,6.7374
150.157,6.7367
150.713,6.2938
151.275,4.4689
151.848,3.6300
152.508,3.2149
153.076,2.9864
153.657,2.9386
154.212,2.8979
154.888,2.8482
155.479,2.8249
156.000,2.8651
156.667,3.0617
157.276,0.6942
157.836,0.6575
158.388,0.6521
158.924,0.6872
159.503,0.7061
160.068,0.7320
160.583,0.7557
161.112,2.5144
161.736,2.5423
162.284,4.0443
162.859,4.0745
163.397,6.9466
163.955,6.7717
164.562,6.5495
165.126,6.5305
165.704,4.6362
166.268,3.1787
166.816,2.5046
167.374,2.1669
167.968,1.9879
168.529,1.9480
169.052,1.9082
169.572,1.8713
170.100,1.8353
170.673,1.8215
171.233,1.9372
171.853,2.2078
172.427,2.7674
172.948,3.4758
173.469,3.3792
174.005,1.4870
174.618,1.5301
175.198,1.5634
175.802,1.5962
176.343,1.7118
177.011,5.0254
177.585,5.0391
178.249,7.1380
178.810,6.5117
179.417,6.3444
179.950,4.4492
180.505,2.3028
181.055,1.5885
181.600,1.2731
182.160,1.0765
182.714,1.0009
183.277,0.9456
183.820,0.9240
184.393,0.8745
184.945,0.8470
185.499,0.8200
186.026,0.8655
186.641,0.9755
187.232,1.2240
187.764,1.9007
188.297,4.1011
188.820,2.6261
189.373,2.4622
189.920,2.4718
190.585,2.5124
191.239,2.6282
191.781,5.9767
192.348,7.5029
192.885,6.6455
193.444,6.2159
193.966,6.1276
194.499,2.5976
195.028,1.0650
195.558,0.6924
196.118,0.5041
196.662,0.3891
197.188,0.3216
197.720,0.2990
198.271,0.2605
198.913,0.2500
199.478,0.2500
200.036,0.2570
200.741,0.2500
201.274,0.2500
201.845,0.3317
202.375,0.7180
203.038,1.1582
203.704,2.3820
204.261,4.5896
204.821,4.2812
205.448,2.8449
205.978,2.8145
206.618,2.8277
207.190,2.8367
207.713,2.8246
208.273,2.8159
208.817,2.8010
209.451,2.7960
210.118,2.7789
210.646,2.7667
211.170,2.8372
211.703,4.6244
212.228,4.5920
212.758,5.8229
213.289,5.7572
213.820,5.7683
214.381,5.7332
214.902,7.1466
215.453,6.8710
216.015,6.4763
216.553,6.1732
217.213,5.9311
217.793,5.7615
218.354,5.6128
218.927,5.5019
219.526,5.4467
220.205,5.4297
220.725,5.4088
221.263,4.7807
221.825,3.3711
222.434,2.6887
222.998,2.2324
223.571,1.9354
224.181,1.7224
224.701,1.5970
225.250,1.4971
225.853,1.4099
226.424,1.3586
226.966,1.3053
227.494,1.2715
228.050,1.2306
228.588,1.2123
229.272,1.2053
229.827,1.2070
230.448,1.2024
231.127,1.2021
231.645,1.2142
232.171,1.2236
232.758,1.2257
233.306,1.2525
233.845,1.2706
234.403,1.2911
234.964,1.3067
235.514,1.3250
236.079,1.3377
236.781,1.3487
237.323,1.3720
237.849,1.3896
238.381,1.3925
238.981,1.3833
