timestamp,min_front_range_m
0.332,2.7017
2.036,2.6909
4.564,2.6914
6.102,2.6840
7.572,2.6953
8.506,2.6980
9.009,2.6905
9.526,2.7028
10.047,2.6870
10.572,2.6632
11.075,2.6763
11.584,2.6941
12.097,2.6903
12.613,2.6960
13.121,2.6892
13.630,2.6890
14.146,2.6958
14.655,2.6999
15.159,2.6966
15.666,2.6896
16.173,2.6848
16.676,2.6834
17.198,2.6882
17.750,2.7054
18.254,2.6828
18.757,2.6773
19.265,2.6645
20.426,2.6987
21.857,2.7018
23.385,2.6772
24.890,2.6948
26.455,2.6930
27.614,2.7084
28.118,2.6805
28.622,2.6896
29.129,2.6974
29.633,2.6792
30.489,2.6849
32.064,2.6761
33.695,2.6823
35.216,2.6809
37.621,2.6784
38.964,2.6914
39.477,2.6807
39.983,2.6817
40.493,2.6826
40.996,2.6467
41.504,2.6598
42.007,2.6473
42.521,2.6817
43.051,2.6791
43.561,2.6579
44.064,2.6582
44.570,2.6601
45.075,2.6699
45.579,2.6296
46.086,2.6453
46.592,2.6554
47.100,2.6453
47.614,2.6527
48.123,2.6323
48.628,2.6133
49.138,2.6317
49.662,2.6046
50.174,2.6363
50.676,2.6533
51.234,2.6348
52.736,2.6350
54.279,2.6251
55.791,2.6096
57.219,2.5758
58.639,2.5105
59.398,2.4127
59.936,2.3792
60.440,2.3365
61.434,2.2588
62.893,2.2114
64.332,2.5558
65.889,4.7495
67.567,4.7792
68.842,5.7730
70.154,5.8399
70.665,5.9232
71.178,6.0009
71.692,5.2785
72.197,4.7529
72.707,4.5933
73.278,4.6200
73.825,1.9155
74.330,1.9224
74.847,1.9168
75.352,1.8260
75.912,0.7227
76.417,0.6247
76.932,0.5423
77.436,0.4611
77.936,1.1617
78.454,2.9390
78.960,2.8027
79.768,2.8349
81.391,2.9097
82.867,3.0384
84.463,1.8771
86.041,0.8698
87.322,0.6362
87.828,0.5052
88.361,0.4527
88.928,0.4434
89.445,0.4295
89.955,0.4062
90.461,0.4075
90.973,0.4252
91.478,0.4491
91.987,0.4647
92.562,0.4883
93.322,0.4818
94.793,0.5279
96.274,0.5376
97.995,0.5514
99.509,0.7132
100.916,2.4196
101.556,2.5879
102.066,5.5541
103.187,5.7390
103.664,6.0105
104.179,6.4327
104.691,7.0435
105.201,7.1837
105.719,7.1911
106.233,7.1885
