timestamp,min_front_range_m
0.002,2.6927
0.003,2.6927
0.507,2.6939
1.040,2.6731
1.586,2.6719
2.158,2.6927
2.803,2.6789
3.357,2.6980
3.919,2.6836
4.521,2.6691
5.170,2.6738
5.708,2.6701
6.310,2.6919
6.877,2.6826
7.485,2.7111
8.014,2.6823
8.533,2.7015
9.069,2.6891
9.609,2.6856
10.155,2.6756
10.730,2.6944
11.306,2.6997
12.009,2.7093
12.548,2.7368
13.093,2.7508
13.654,2.7724
14.215,2.7754
14.845,2.7816
15.381,2.7804
15.951,2.8099
16.499,2.8078
17.034,2.8107
17.572,2.8174
18.110,2.8225
18.668,2.8384
19.207,2.8749
19.755,2.8836
20.292,2.9171
20.833,2.9483
21.409,2.9658
21.995,2.9931
22.551,3.0066
23.117,3.0132
23.655,3.0305
24.176,3.0029
24.720,3.0261
25.328,2.9650
25.916,2.9469
26.511,2.9140
27.042,2.8869
27.572,2.8248
28.154,2.7485
28.715,2.6940
29.315,2.6944
29.838,2.6842
30.393,2.7010
30.971,2.7004
31.519,2.6770
32.056,2.6443
32.586,2.6727
33.111,2.6405
33.648,2.6694
34.367,2.6657
35.249,2.6508
36.072,2.6293
36.752,2.6047
37.289,2.6441
37.839,2.5262
38.581,2.4945
39.154,4.0015
39.746,4.0179
40.307,4.3195
40.848,5.0431
41.413,5.0609
41.969,5.4665
42.654,3.0650
43.210,2.4238
43.793,2.4120
44.383,2.3706
44.977,2.3852
45.533,2.3722
46.104,4.1395
46.687,4.1468
47.217,4.6571
47.803,5.2586
48.398,5.2666
48.932,4.7447
49.529,2.2598
50.305,2.2345
51.109,2.1654
51.711,2.1483
52.245,2.2645
52.824,2.2775
53.424,4.2669
53.992,4.2798
54.580,5.1138
55.132,5.4772
55.830,5.5089
56.359,4.6809
56.988,2.0867
57.558,2.0498
58.171,1.9228
58.797,1.9057
59.356,2.1892
59.918,2.1702
60.443,4.4015
60.990,4.4643
61.543,5.6526
62.101,5.6942
62.633,5.7788
63.193,2.6694
63.819,1.9037
64.453,1.9341
64.998,1.6890
65.537,1.6815
66.160,2.1449
66.835,2.1293
67.477,4.5390
68.311,4.6725
68.934,5.8704
69.488,5.8822
70.077,4.5906
70.654,1.7480
71.195,1.7588
71.735,1.9723
72.261,1.4689
72.833,1.4472
73.415,2.1167
74.185,2.1098
74.880,4.6618
75.464,4.9856
76.035,6.0731
76.601,6.0903
77.165,4.5368
77.741,1.6440
78.261,1.6340
78.779,2.0581
79.312,1.2510
79.911,1.2399
80.435,2.1156
81.149,2.1171
81.725,4.7929
82.274,5.4102
83.072,6.2740
83.726,6.2997
84.287,1.5525
84.806,1.5391
85.355,1.5955
85.892,2.2155
86.433,1.0403
86.983,1.0309
87.500,2.1360
88.081,2.1444
88.656,4.9456
89.478,6.1384
90.270,6.4860
90.816,4.5279
91.358,1.4809
91.902,1.4768
92.419,1.6609
92.993,0.8627
93.559,0.8389
94.099,0.8588
94.633,2.1589
95.173,2.2292
95.718,5.2901
96.260,6.6576
96.870,6.6701
97.474,1.4424
98.038,1.4190
98.580,1.4501
99.114,2.9455
99.666,0.9550
100.216,0.6808
100.774,0.6793
101.329,0.6741
101.891,2.2216
102.502,2.2044
103.299,5.1755
103.868,5.6692
104.415,6.8093
104.956,6.8147
105.501,1.4363
106.044,1.3257
106.590,1.3306
107.127,1.3199
107.653,1.3862
108.215,2.8596
108.900,1.1310
109.598,0.6228
110.169,0.6183
110.822,0.6029
111.388,0.7865
112.165,2.3301
112.814,5.3361
113.346,6.0408
113.981,6.9313
114.636,6.9442
115.180,1.2935
115.725,1.2287
116.253,1.2274
116.776,1.2175
117.662,2.4726
118.291,2.8239
118.974,1.2235
119.490,0.7184
120.018,0.6281
120.629,0.6184
121.200,0.6343
121.819,2.4207
122.402,5.5387
122.944,6.4990
123.486,7.0484
124.026,1.3959
124.607,1.1746
125.153,1.1355
125.694,1.1277
126.214,1.1306
126.804,2.3558
127.338,2.7975
128.266,1.2494
128.870,0.8132
129.447,0.7047
130.104,0.7040
130.636,0.6992
131.335,2.5513
132.172,5.7930
132.870,7.0974
133.554,7.1634
134.176,1.1885
134.745,1.0444
135.330,1.0489
135.931,1.0350
136.533,1.0614
137.056,2.2768
137.677,2.8622
138.256,1.2747
138.809,0.9004
139.379,0.7694
140.033,0.7766
140.590,0.7811
141.117,2.7240
141.643,6.1201
142.356,7.2551
142.958,1.3739
143.574,1.0566
144.118,0.9568
144.674,0.9535
145.267,0.9410
146.099,2.0616
146.775,2.2463
147.338,2.5155
147.870,1.2619
148.409,0.9618
148.978,0.8725
149.531,0.8814
150.056,0.8837
150.601,5.8584
151.132,6.6309
151.673,7.3523
152.260,1.1129
152.804,0.9115
153.347,0.8698
153.947,0.8785
154.553,1.9412
155.080,1.9669
155.632,2.2714
156.164,2.0671
156.725,1.2258
157.322,1.0149
157.872,0.9793
158.441,0.9799
159.013,0.9768
159.569,6.1309
160.112,7.4619
160.699,1.2857
161.258,0.8938
162.151,0.7922
162.724,0.8034
163.364,0.8001
163.896,1.8187
164.491,1.9275
165.017,2.3925
165.558,1.7149
166.169,1.2167
166.714,1.0655
167.616,1.0606
168.218,1.0775
168.809,1.0942
169.376,6.6648
169.934,1.6519
170.501,0.9454
171.308,0.7744
171.922,0.7703
172.487,0.7734
173.231,1.7140
173.853,1.7272
174.408,1.9815
174.945,2.5829
175.503,1.4812
176.033,1.2098
176.746,1.1561
177.423,1.1542
177.951,1.1582
178.489,6.3775
179.063,7.6371
179.609,0.9919
180.215,0.7569
180.744,0.7622
181.352,0.7631
181.895,1.6105
182.451,1.5976
182.974,1.7337
183.529,2.2442
184.165,1.8626
184.742,1.3690
185.322,1.2379
185.852,1.2451
186.397,1.2562
186.934,1.3131
187.453,7.2917
188.003,1.0572
188.572,0.7855
189.204,0.7851
189.862,0.8294
190.439,1.5094
191.010,1.5057
191.565,1.5453
192.088,1.8672
192.628,2.3616
193.177,1.5629
193.721,1.3348
195.451,1.3274
197.539,1.3346
199.242,1.3643
200.890,6.9263
202.411,1.1703
202.961,0.8141
203.518,0.8211
204.143,0.9055
204.689,1.4171
205.312,1.4027
205.915,1.4083
206.435,1.6068
207.012,2.3825
207.543,1.8011
208.216,1.4568
208.792,1.3967
209.359,1.4151
209.913,1.4225
210.444,1.6064
211.007,1.2454
211.580,0.8879
212.134,0.9094
212.683,1.0060
213.210,1.3112
213.852,1.3120
214.401,1.3040
214.951,1.4451
215.524,2.0102
216.383,2.0171
216.989,1.5607
217.573,1.4900
218.129,1.4864
218.669,1.4836
219.199,1.6400
219.730,1.2755
220.308,0.9829
220.890,0.9808
221.470,1.1327
222.017,1.2048
222.555,1.2075
223.221,1.2095
223.884,1.3047
224.418,1.7244
224.979,2.2548
225.640,1.6952
226.296,1.5614
226.862,1.5643
227.421,1.5668
227.961,1.6995
228.561,1.3461
229.334,1.0779
230.096,1.0881
230.632,1.2126
231.161,1.1218
231.734,1.1182
232.306,1.1085
232.847,1.1989
233.413,1.5571
234.069,2.4233
234.702,1.7876
235.283,1.6190
235.984,1.6319
236.566,1.6219
237.156,1.7707
237.732,1.1816
238.403,1.1846
238.959,1.1982
239.577,1.1241
240.116,1.0177
240.687,1.0322
241.330,1.0068
241.908,1.0989
242.482,1.4425
243.036,2.4778
243.595,1.8426
244.128,1.6846
244.693,1.7027
245.472,1.7063
246.175,1.8730
246.828,1.2963
247.379,1.3064
247.952,1.3001
248.498,1.0029
249.048,0.9314
249.627,0.9327
250.217,0.9266
250.755,1.0115
251.321,1.3816
251.862,2.3496
252.385,1.8680
252.922,1.7390
253.440,1.7629
253.994,1.7740
254.522,1.9974
255.048,1.4250
255.570,1.4380
256.102,1.1200
256.657,0.8767
257.183,0.8506
257.715,0.8439
258.258,0.8500
258.800,0.9406
259.407,1.3728
259.930,2.2488
260.537,1.8769
261.073,1.8136
261.592,1.8203
262.163,1.8379
262.742,2.1561
263.414,1.5633
263.983,1.5198
264.742,0.9336
265.268,0.7890
265.798,0.7667
266.327,0.7583
266.868,0.7641
267.405,0.9203
267.927,1.4611
268.476,2.1277
269.049,1.8919
269.588,1.8709
270.105,1.8789
270.691,1.9446
271.220,1.6717
271.775,1.6957
272.342,1.1228
272.881,0.7891
273.426,0.6868
273.943,0.6850
274.470,0.6883
275.003,0.7176
275.568,0.9410
276.106,1.8210
276.622,2.0464
277.152,1.9153
277.801,1.9282
278.346,1.9236
278.872,2.1132
279.404,1.8053
280.023,1.5459
280.664,0.8287
281.187,0.6539
281.748,0.6202
282.334,0.6195
282.865,0.6194
283.405,0.7025
284.007,1.0516
284.583,1.9570
285.193,1.9964
285.749,1.9668
286.300,1.9621
286.862,2.0166
287.396,1.9294
287.923,1.9234
288.459,0.9585
288.994,0.6442
289.525,0.5582
290.087,0.5642
290.608,0.5596
291.127,0.5864
291.730,0.7357
292.321,1.3781
292.873,1.8576
293.451,1.9992
294.012,2.0049
294.570,2.0046
295.199,2.1831
295.735,2.0676
296.279,1.2409
296.855,0.6669
297.466,0.5246
298.011,0.4896
298.622,0.4971
299.185,0.5020
299.725,0.5551
300.298,0.8134
