timestamp,min_front_range_m
0.309,2.7012
0.815,2.7012
1.325,2.7037
2.539,2.6861
3.043,2.6928
3.550,2.7092
4.062,2.7035
4.566,2.6994
5.075,2.6968
5.586,2.7038
6.101,2.6981
6.624,2.6997
7.137,2.7094
7.640,2.6993
8.144,2.6962
8.664,2.7004
9.393,2.7045
10.876,2.6681
12.373,2.6856
14.037,2.6769
15.513,2.6974
16.997,2.6915
17.548,2.7141
18.051,2.7139
18.557,2.6810
19.060,2.6714
19.569,2.6761
20.083,2.6989
20.603,2.6905
21.222,2.6923
21.734,2.6693
22.240,2.6945
22.806,2.6673
23.311,2.6938
23.820,2.6849
24.338,2.6720
24.848,2.6936
25.387,2.6924
25.917,2.6961
26.430,2.6697
26.943,2.6860
27.452,2.6766
28.419,2.6606
30.202,2.6817
31.718,2.6989
33.321,2.6723
35.543,2.6610
36.618,2.6594
37.134,2.6654
37.657,2.6800
38.164,2.6760
38.683,2.6670
39.197,2.6776
39.699,2.6501
40.206,2.6683
40.717,2.6605
41.230,2.6602
41.780,2.6418
42.309,2.6515
42.812,2.6443
43.317,2.6263
43.821,2.6182
44.328,2.6148
44.878,2.6015
45.466,2.6371
46.091,2.6463
46.652,2.6360
48.107,2.6158
50.011,2.6194
51.430,2.6112
53.006,2.5794
54.561,2.5266
55.168,2.4485
55.694,2.3563
56.204,2.2907
56.709,2.2439
57.233,2.1523
57.761,2.0728
58.322,1.9822
58.824,1.8872
59.333,1.7862
59.837,1.7324
60.341,1.6206
60.849,1.5362
61.361,1.4524
61.897,1.3819
62.411,1.2878
62.916,1.1934
63.418,1.0857
64.271,1.0402
66.027,0.9855
68.640,0.9155
70.447,0.8483
72.242,0.7725
72.922,0.7158
73.427,0.6350
73.936,0.5668
74.449,0.5266
74.980,0.4765
75.585,0.4127
76.100,0.3797
76.606,0.3502
77.193,0.3345
77.770,0.3924
78.326,0.6834
80.007,2.1272
81.945,1.8736
83.748,2.5198
85.608,0.4361
86.666,0.3000
87.194,0.2720
87.702,0.2573
88.222,0.2545
88.730,0.2640
89.247,0.3417
89.757,0.6726
90.834,0.4172
93.184,0.2879
95.502,0.2563
97.898,0.2500
98.541,0.2500
99.048,0.2500
99.554,0.2500
100.062,0.2500
100.569,0.2679
101.754,0.2955
102.260,2.0709
102.770,2.6368
103.294,2.6445
103.830,2.0502
104.374,0.3172
104.877,0.2747
105.385,1.7994
105.889,2.4195
106.401,2.4426
106.923,2.2187
107.561,1.8778
109.631,1.5009
111.665,1.3263
114.022,1.2510
115.596,1.2435
116.098,1.0250
116.604,0.7801
117.148,0.6986
117.754,0.6993
118.313,0.7639
118.824,0.8507
119.330,0.9269
119.849,1.0155
120.359,1.9057
120.888,1.8003
121.398,1.8167
121.910,1.8289
123.809,1.8344
125.837,1.8865
127.988,2.0917
129.369,2.1194
130.342,1.2711
130.905,0.8475
131.477,0.6679
132.040,0.5806
132.608,0.5304
133.122,0.5061
134.331,0.4683
134.646,0.4405
135.152,0.4269
135.662,0.4373
136.168,0.5286
136.678,0.7850
137.184,2.7481
137.696,2.7993
138.204,1.4278
139.899,0.5293
141.785,0.3603
143.689,0.3110
145.522,0.3101
146.611,0.3638
147.169,0.4662
147.713,0.8501
148.233,2.8348
148.738,2.3509
149.260,2.0927
149.782,2.0635
150.285,2.1035
150.795,1.2714
151.325,1.2366
151.897,1.2397
154.052,1.2328
156.008,1.2392
158.129,1.2106
159.905,1.2278
160.441,1.2228
160.986,1.2147
161.488,1.2095
162.039,0.6625
162.545,0.5441
163.052,0.4711
163.591,0.3952
164.165,0.4011
164.716,0.3682
165.227,0.3537
165.748,0.3378
166.255,0.3329
168.064,0.3473
170.492,0.4164
173.057,0.6734
174.857,1.1827
175.618,1.1932
176.122,1.1813
176.634,0.4420
177.144,0.3209
177.670,0.2904
178.261,0.2905
178.829,0.2932
179.341,0.2867
179.847,0.3005
180.354,0.3350
180.863,0.4616
181.365,1.0701
181.869,2.8853
182.377,2.3572
182.889,2.2807
183.398,2.4755
183.904,2.8630
184.409,0.5888
184.917,0.3865
185.430,0.3404
185.941,0.3350
186.454,0.3381
186.961,0.3331
187.473,0.3672
187.982,0.4828
188.966,1.1843
190.498,1.1948
191.991,1.1835
193.512,2.0215
195.168,2.0090
196.423,2.1224
196.934,2.6643
197.449,1.4019
197.953,0.5670
198.455,0.4174
198.978,0.3765
199.482,0.3713
200.657,0.3764
201.190,0.3998
202.739,0.4459
204.344,0.6570
206.081,1.1971
207.719,1.2013
209.220,1.2189
209.780,1.9869
210.360,2.0055
210.950,2.2010
211.529,2.7906
212.044,0.9995
212.551,0.5451
213.066,0.4324
213.574,0.4138
214.081,0.4231
214.589,0.4150
215.091,0.4313
215.685,0.5365
216.198,1.2047
216.700,1.1995
217.209,1.2003
217.728,1.9557
218.241,1.9566
218.757,1.9893
219.260,2.3273
219.840,2.7608
220.346,0.8912
220.854,0.5530
221.368,0.4598
221.871,0.4549
222.444,0.4550
223.689,0.4529
225.367,0.4885
226.863,0.6628
228.560,1.1960
230.178,1.2111
231.004,1.2111
231.514,1.9184
232.044,1.9157
234.043,2.0125
235.679,2.5028
237.533,2.1436
239.373,0.7975
240.945,0.5504
241.524,0.4873
242.032,0.4900
242.536,0.4922
243.126,0.4971
243.677,0.5635
244.190,0.8321
244.702,1.2219
245.213,1.2220
245.716,1.9018
246.233,1.8928
246.754,1.8841
247.266,2.0851
247.784,2.6963
248.289,1.3332
248.809,0.7182
249.335,0.5517
249.846,0.5199
250.365,0.5113
250.882,0.5181
251.403,0.5484
251.912,0.6933
252.417,1.2269
252.925,1.2288
253.437,1.2303
253.979,1.8804
254.586,1.8710
255.108,1.9260
255.633,2.3146
256.136,2.6753
257.412,0.9742
258.901,0.6295
260.624,0.5484
262.213,0.5433
263.595,0.5356
