timestamp,min_front_range_m
0.405,2.6790
0.925,2.6952
1.439,2.7013
1.942,2.6867
3.205,2.7081
3.708,2.6916
4.221,2.7011
4.752,2.6921
5.270,2.6914
5.776,2.7030
6.282,2.6970
6.788,2.6904
7.293,2.7090
7.840,2.7044
8.399,2.6891
8.918,2.6979
9.428,2.6996
9.967,2.6887
10.559,2.6825
11.080,2.6884
12.557,2.6511
14.272,2.6726
15.933,2.6977
17.334,2.6963
18.749,2.7031
19.414,2.6806
19.917,2.6868
20.422,2.6838
20.928,2.7048
21.428,2.6827
21.946,2.6862
22.541,2.6675
23.128,2.6636
23.637,2.6945
24.139,2.6667
24.645,2.7086
25.150,2.6922
25.658,2.6759
26.201,2.6845
26.723,2.6769
27.259,2.6783
27.761,2.6640
28.266,2.6792
28.771,2.7094
29.280,2.6705
29.852,2.6733
30.441,2.6639
31.787,2.6619
33.540,2.6841
35.134,2.6812
37.585,2.6813
39.152,2.6508
39.807,2.6616
40.313,2.6665
40.845,2.6741
41.414,2.6708
41.924,2.6533
42.432,2.6524
43.028,2.6534
44.614,2.6500
46.295,2.6604
47.757,2.6529
49.164,2.6270
50.511,2.6162
51.407,2.6138
51.912,2.6234
52.452,2.6552
52.955,2.6394
53.461,2.6346
53.965,2.6433
54.470,2.6326
54.982,2.6027
55.485,2.5737
55.991,2.5209
56.501,2.4424
57.011,2.3304
57.789,2.3114
59.420,2.2182
60.870,2.1750
62.342,2.1215
64.022,2.1416
65.436,3.4250
65.939,4.6349
66.454,5.8990
66.967,5.8468
67.475,5.9001
67.981,5.9893
69.321,6.0671
69.892,6.1258
70.397,5.3674
70.920,5.0113
71.435,4.9158
71.950,4.9655
72.460,2.2063
72.965,2.2148
73.945,2.2317
75.562,0.7951
77.365,0.6973
79.511,0.6394
81.260,0.6249
81.799,0.7888
82.327,1.1729
82.841,2.3228
83.349,2.6268
83.884,2.3467
84.435,2.1850
85.021,2.1305
85.550,1.5865
86.170,1.0318
86.769,1.0245
87.274,1.0356
87.810,1.0487
88.321,1.0380
88.826,1.0746
89.329,1.1032
89.853,1.3266
90.365,1.8731
90.874,1.5822
91.378,1.3956
92.345,1.3041
93.908,1.2621
95.439,1.2835
96.972,1.3132
98.570,1.3582
99.795,1.3882
100.300,1.4302
100.807,1.5349
101.993,1.7067
102.294,1.7362
102.802,1.6854
103.306,1.3534
103.812,1.0642
104.317,0.8813
104.827,0.7535
105.335,0.6927
105.841,0.6505
106.572,0.5874
108.105,0.5298
109.513,0.4911
111.146,0.4523
112.605,0.4216
114.193,0.3997
114.738,0.3885
115.247,0.4069
115.758,0.4159
116.274,0.3006
116.784,0.2653
117.293,0.2558
117.813,0.2500
118.326,0.2500
118.832,0.2574
119.339,0.2638
119.857,0.2762
120.365,0.2870
120.870,0.2910
121.379,0.3039
121.903,0.3144
122.397,0.3126
122.910,0.3416
123.412,0.3679
123.917,0.4009
124.421,0.4780
124.928,0.6075
125.436,1.0659
125.946,1.0827
126.451,1.0834
126.960,1.0901
127.468,1.0924
127.974,1.0915
128.483,1.1064
128.986,1.9151
129.490,1.9259
130.000,1.9125
130.505,1.8961
131.773,1.8968
133.333,1.9101
135.712,1.9515
137.325,2.0682
138.890,2.2671
139.742,2.6244
140.245,2.7216
140.758,2.4133
141.273,1.4133
141.773,1.0417
142.288,0.8572
142.802,0.7354
143.307,0.6820
143.814,0.6407
144.326,0.6275
144.853,0.6291
145.360,0.6277
145.868,0.6399
146.381,0.6451
146.914,0.6515
147.456,0.6646
147.958,0.6692
148.502,0.6888
149.017,0.7344
149.531,0.8106
150.041,0.9033
150.546,1.0649
151.053,1.3249
151.556,1.3573
152.064,1.3499
152.589,1.3651
153.103,1.3753
153.606,1.5790
154.108,1.6807
154.618,1.6778
155.142,1.6673
155.745,1.6523
156.313,1.6545
156.860,1.6553
157.365,1.6382
158.043,1.6749
159.452,1.7541
161.063,1.8620
162.696,2.0747
164.167,2.2296
165.621,2.2095
166.228,2.2096
166.752,2.0441
167.930,1.5487
168.245,1.2963
168.753,1.1306
169.266,1.0473
169.767,0.9803
170.287,0.9613
170.797,0.9608
171.304,0.9713
171.813,0.9807
172.352,0.9787
172.867,0.9910
173.431,1.0099
173.932,1.0344
174.447,1.0860
174.974,1.1631
175.485,1.2989
175.997,1.5283
176.516,1.7468
177.025,1.7631
177.529,1.7767
179.014,1.7215
180.620,1.5937
182.182,1.4948
183.623,1.4471
185.168,1.4470
185.984,1.4423
186.487,1.4245
186.997,1.4190
187.503,1.4005
188.011,1.4308
188.520,1.4571
189.025,1.5340
189.530,1.6612
190.038,1.8860
190.543,1.7567
191.053,1.7580
191.564,1.7488
192.208,1.7292
193.796,1.7562
195.269,1.6033
196.786,1.4329
198.426,1.3442
199.971,1.2868
201.225,1.2717
201.753,1.2724
202.265,1.2891
202.770,1.3047
203.290,1.3085
203.797,1.3121
204.311,1.3406
204.827,1.3836
205.346,1.4878
205.855,1.6810
206.360,1.9619
206.878,2.1630
207.382,2.1895
207.935,1.6733
208.485,1.4533
209.003,1.3340
209.535,1.2697
210.043,1.2225
210.546,1.2283
211.050,1.2238
211.558,1.2126
213.582,1.2091
215.581,1.2002
217.620,1.2033
219.382,1.2267
220.053,1.3271
220.560,1.4455
221.066,1.6682
221.573,1.8980
222.080,1.3879
222.586,1.3861
223.089,1.3884
223.612,1.3637
224.121,1.3677
224.629,1.3661
225.146,1.4444
225.741,1.5827
226.307,1.5631
226.872,1.5761
227.375,1.5902
227.881,1.5958
228.388,1.5916
228.895,1.6151
229.451,1.6538
230.403,1.7801
232.091,1.9690
234.469,2.2723
236.017,2.6244
237.646,1.7911
238.840,1.4305
239.342,1.2397
239.860,1.1295
240.402,1.0628
240.910,1.0387
241.415,1.0183
241.926,0.9984
242.431,1.0006
242.944,0.9924
243.490,0.9983
243.995,1.0028
244.504,1.0297
245.020,1.0961
245.525,1.2196
246.035,7.3904
246.542,8.0161
247.046,1.6346
248.312,1.3133
249.917,1.1484
251.456,1.1507
252.924,1.1399
254.460,1.1405
255.367,1.1375
255.891,1.1256
256.401,1.3248
256.962,1.8615
257.543,1.8614
258.051,1.8697
258.556,1.8711
259.059,1.9117
259.567,1.9638
260.091,2.1470
260.601,2.4049
261.106,2.8084
261.608,1.7169
262.123,1.3310
262.673,1.1234
263.405,0.9740
264.903,0.8999
267.117,0.8607
268.714,0.8378
270.349,0.8331
271.784,0.8288
272.300,0.8198
272.808,0.8212
273.316,0.8043
273.824,0.8198
274.345,0.8799
274.857,0.9350
275.379,6.7973
275.896,7.6504
276.420,7.6482
276.927,1.6136
277.435,1.3487
277.944,1.2010
278.447,1.1183
278.956,1.0883
279.480,1.0891
279.998,1.0809
280.516,1.0845
281.032,1.0870
281.538,1.0794
282.043,2.1266
282.551,2.1248
283.075,2.1407
283.584,2.2432
284.091,2.4057
284.590,2.6862
285.092,2.0580
285.595,1.3423
286.102,1.0468
287.020,0.8701
288.628,0.7692
290.161,0.7079
291.632,0.6707
293.221,0.6563
294.873,0.6621
295.758,0.6604
296.268,0.6606
296.777,0.6370
297.282,0.6412
297.790,2.6577
298.304,5.7348
298.823,6.0968
299.916,6.7730
300.373,7.2911
300.878,7.3032
301.384,7.2880
301.894,1.4696
302.408,1.3169
302.920,1.2320
303.429,1.1855
303.930,1.1891
304.909,1.1915
306.495,1.2029
308.259,1.2027
309.878,1.2004
311.675,1.2216
312.559,2.3734
313.074,2.4389
313.576,2.5945
314.084,2.8694
