timestamp,min_front_range_m
1.051,2.6962
1.655,2.6779
2.172,2.6854
2.710,2.7080
3.291,2.6965
3.815,2.7007
4.344,2.7059
4.854,2.6987
5.365,2.7037
5.907,2.6914
6.425,2.7141
6.933,2.7062
7.436,2.6872
7.942,2.6878
8.449,2.6615
8.955,2.6972
9.471,2.6912
9.998,2.6928
10.524,2.7048
11.056,2.6875
11.616,2.6858
12.143,2.6773
12.649,2.6738
13.159,2.6972
13.662,2.6994
14.169,2.6852
14.685,2.6906
15.218,2.6878
15.737,2.6968
16.244,2.6957
16.755,2.6897
17.279,2.7047
17.797,2.6840
18.307,2.6953
18.831,2.6761
19.353,2.6693
20.434,2.6912
20.956,2.6728
21.483,2.6691
21.993,2.6733
22.516,2.6710
23.022,2.6871
23.531,2.6920
24.034,2.6596
24.551,2.6694
25.088,2.6685
25.605,2.6639
26.110,2.6653
26.614,2.6576
27.128,2.6584
27.636,2.6500
28.142,2.6501
28.646,2.6266
29.155,2.6347
29.664,2.6458
30.177,2.6515
30.694,2.6372
31.211,2.6406
31.718,2.6156
32.262,2.6190
32.782,2.6080
33.346,2.6470
33.862,2.6446
34.378,2.6433
34.895,2.6329
35.408,2.6348
35.924,2.6132
36.461,2.5965
36.967,2.5876
37.481,2.5086
37.995,2.4922
38.501,2.5080
39.008,2.4955
39.524,2.5016
40.054,2.4780
40.560,2.4932
41.067,2.4981
41.573,2.4843
42.083,2.4746
42.587,2.4602
43.118,4.1122
43.644,4.0824
44.153,4.0740
44.679,4.0891
45.185,4.0885
45.688,4.1013
46.195,4.1059
46.699,4.0947
47.207,4.0966
47.739,4.0982
48.250,4.1142
48.792,4.1302
49.299,4.2155
49.805,4.3521
50.309,4.5763
50.817,4.8733
51.322,5.1213
51.825,5.1256
52.343,5.1256
53.413,5.1427
53.922,5.1454
54.436,5.1409
55.005,5.1376
55.520,5.1784
56.022,5.2877
56.534,5.5173
57.047,4.7500
57.559,4.7632
58.085,3.6885
58.624,2.7511
59.137,2.3590
59.655,2.3738
60.211,2.3687
60.749,2.3680
61.268,2.3660
61.776,2.3553
62.307,2.3887
62.825,2.3755
63.341,2.3872
63.849,2.3945
64.356,2.3976
64.866,2.3708
65.402,2.3657
65.919,2.4263
66.433,2.4151
66.952,2.4191
67.458,2.4114
67.971,2.4045
68.484,2.5948
69.010,4.1639
69.537,4.1757
70.043,4.1786
70.553,4.1726
71.062,4.1791
71.566,4.1775
72.073,4.1905
72.619,4.2820
73.123,4.4836
73.635,4.8198
74.181,5.1605
74.692,5.1636
75.196,5.1579
75.707,5.1542
76.237,5.1666
76.740,5.1533
77.277,5.1679
77.780,5.2255
78.284,5.4292
78.817,4.7119
79.322,4.7194
79.828,3.7071
80.334,2.8270
80.838,2.3097
81.347,2.3073
81.859,2.3193
82.361,2.3153
82.865,2.3136
83.371,2.3077
83.878,2.3638
84.383,2.3634
84.886,2.3569
85.393,2.3666
86.263,2.3648
86.758,2.3444
87.263,2.4218
87.769,2.4327
88.274,2.4382
88.785,2.4244
89.290,2.4325
89.795,2.4276
90.298,4.1960
90.805,4.1991
91.309,4.2008
91.815,4.2038
92.323,4.2009
92.830,4.2004
93.332,4.2207
93.845,4.3290
94.353,4.5663
94.858,4.9221
95.380,5.1555
95.937,5.1597
96.446,5.1576
96.972,5.1707
97.481,5.1681
97.985,5.1649
98.490,5.1844
99.005,5.3151
99.512,4.6986
100.035,4.6846
100.563,4.6954
101.067,3.6160
101.601,2.4166
102.108,2.2851
102.621,2.2986
103.128,2.2906
103.651,2.3026
104.173,2.2824
104.683,2.3154
105.189,2.3375
105.711,2.3500
106.218,2.3481
106.724,2.3348
107.238,2.3303
107.758,2.3419
108.274,2.4097
108.783,2.4342
109.291,2.4332
109.807,2.4280
110.346,2.4522
110.876,4.2176
111.394,4.2310
111.916,4.2341
112.433,4.2293
112.943,4.2238
113.473,4.2195
113.980,4.2668
114.486,4.4290
114.989,4.7215
115.509,5.2089
116.039,5.1783
116.554,5.1757
117.063,5.1803
117.586,5.1899
118.091,5.1773
119.178,5.1865
119.685,5.3034
120.191,5.5563
120.696,4.6815
121.201,4.6770
121.708,3.5961
122.213,2.3528
122.724,2.2755
123.281,2.2634
123.847,2.2752
124.385,2.2744
124.897,2.2772
125.409,2.3092
125.926,2.3210
126.461,2.3323
126.976,2.3283
127.486,2.3221
128.004,2.3341
128.515,2.4214
129.025,2.4254
129.538,2.4125
130.049,2.4293
130.563,2.4180
131.080,4.2422
131.585,4.2214
132.097,4.2350
132.611,4.2263
133.145,4.2304
133.656,4.2299
134.163,4.2645
134.737,4.3778
135.253,4.6560
135.777,5.1358
136.300,5.1905
136.804,5.1939
137.311,5.1761
137.862,5.2073
138.413,5.1883
138.947,5.2129
139.455,5.3004
139.965,4.7089
140.468,4.6721
140.974,4.6881
141.478,2.9252
141.983,2.2589
142.488,2.2620
143.028,2.2475
143.551,2.2670
144.083,2.2772
144.593,2.2671
145.121,2.3099
145.666,2.3051
146.189,2.3043
146.708,2.3112
147.231,2.2992
147.744,2.3098
148.263,2.4151
148.776,2.4258
149.302,2.3911
149.833,2.4238
150.347,2.5926
150.862,4.2373
151.796,4.2410
152.262,4.2303
152.772,4.2348
153.302,4.2164
153.903,4.2594
154.435,4.3686
154.947,4.6503
155.467,5.0987
155.986,5.2213
156.492,5.2073
157.011,5.2111
157.535,5.2127
158.057,5.2198
158.590,5.2258
159.143,5.3343
159.677,4.6701
160.180,4.6868
160.683,4.6873
161.195,2.7935
161.700,2.2592
162.206,2.2456
162.715,2.2357
163.228,2.2562
163.731,2.2385
164.234,2.2481
164.754,2.2835
165.261,2.2880
165.788,2.2864
166.313,2.2839
166.837,2.2866
167.341,2.3830
167.844,2.3908
168.365,2.4111
168.869,2.4114
169.374,2.3965
169.882,4.2327
170.407,4.2479
170.912,4.2388
171.423,4.2436
171.953,4.2421
172.473,4.2453
172.979,4.3033
173.487,4.4981
173.992,4.8374
174.497,5.2335
175.022,5.2305
175.533,5.2298
176.046,5.2312
176.554,5.2180
177.059,5.2330
177.563,5.3079
178.069,5.5746
178.574,4.6682
179.076,4.6809
179.579,2.8268
180.089,2.2313
180.598,2.2596
181.134,2.2377
181.640,2.2378
182.147,2.2389
182.652,2.2799
183.164,2.2620
183.664,2.2742
184.170,2.2662
184.694,2.2682
185.211,2.2588
185.724,2.4059
186.227,2.3888
186.730,2.3906
187.261,2.3833
187.832,2.3733
188.352,4.2371
188.897,4.2481
189.404,4.2456
189.909,4.2413
190.428,4.2404
190.933,4.2546
191.456,4.3797
191.959,4.6322
192.469,5.1313
192.991,5.2445
193.494,5.2426
194.022,5.2576
194.536,5.2597
195.044,5.2478
195.550,5.2752
196.056,5.4736
196.561,4.6977
197.067,4.6898
197.571,3.5740
198.088,2.2996
198.592,2.2382
199.101,2.2331
200.185,2.2167
200.694,2.2281
201.199,2.2334
201.706,2.2633
202.218,2.2661
202.723,2.2558
203.229,2.2669
203.784,2.2597
204.285,2.3751
204.790,2.3786
205.294,2.3725
205.801,2.3644
206.306,2.3730
206.833,4.2366
207.345,4.2368
207.854,4.2435
208.361,4.2423
208.906,4.2358
209.433,4.3035
209.942,4.4485
210.450,4.7987
210.953,5.2737
211.476,5.2561
211.980,5.2625
212.484,5.2639
212.988,5.2671
213.492,5.2726
214.010,5.4042
214.517,4.7062
215.033,4.6895
215.537,3.5918
216.064,2.4607
216.583,2.2463
217.105,2.2406
