timestamp,min_front_range_m
1.004,2.6764
1.565,2.6783
2.104,2.6904
2.665,2.7072
3.210,2.7061
3.761,2.6915
4.315,2.6957
4.872,2.6880
5.431,2.6933
5.970,2.7039
6.534,2.6986
7.104,2.6645
7.640,2.6791
8.205,2.6970
8.725,2.6852
9.257,2.6776
9.784,2.6960
10.314,2.6746
10.839,2.6792
11.403,2.6783
12.100,2.6877
12.747,2.6815
13.288,2.6750
13.826,2.6919
14.342,2.7027
14.870,2.6553
15.527,2.6879
16.083,2.6983
16.808,2.6765
17.371,2.6844
17.955,2.6682
18.505,2.6606
19.079,2.6886
19.609,2.6956
20.152,2.6852
20.688,2.6897
21.250,2.6934
21.818,2.6853
22.379,2.6804
22.931,2.6737
23.498,2.6569
24.037,2.6750
24.588,2.6864
25.160,2.6625
25.717,2.6645
26.255,2.6565
26.778,2.6715
27.329,2.6654
27.874,2.6722
28.411,2.6647
28.948,2.6287
29.672,2.6468
30.294,2.6270
30.830,2.6302
31.381,2.6158
31.919,2.6155
32.512,2.6408
33.087,2.6292
33.626,2.6372
34.159,2.6379
34.713,2.6366
35.298,2.6141
35.847,2.6202
36.456,2.6079
37.049,2.5939
37.647,2.6132
38.228,2.5738
38.784,2.5327
39.350,2.5159
39.899,2.5028
40.464,2.5550
41.005,2.5900
41.607,2.6112
42.163,2.5985
42.697,2.6028
43.398,2.5951
43.977,2.6115
44.581,2.6000
45.173,2.5991
45.747,2.6183
46.289,2.6067
46.871,2.6152
47.416,2.5845
47.958,2.5268
48.510,2.4844
49.042,2.4641
49.653,3.7832
50.197,4.8078
50.776,5.1862
51.360,5.2267
51.900,5.2570
52.519,4.6495
53.068,4.1950
53.652,4.1804
54.207,4.1975
54.742,2.2155
55.329,2.1996
55.863,2.1885
56.388,1.9750
56.992,1.9375
57.579,2.1316
58.179,2.0668
58.733,2.0489
59.288,3.4680
59.838,4.7410
60.399,5.7779
60.943,5.8131
61.492,5.8479
62.031,4.7664
62.578,4.4578
63.119,4.4723
63.671,2.0057
64.261,1.9983
64.796,1.9854
65.363,1.3668
65.916,1.3392
66.468,1.2960
67.003,1.9120
67.550,1.7765
68.132,1.7689
68.753,1.7488
69.330,4.7349
69.910,6.3676
70.458,6.3978
70.999,5.8463
71.612,4.8974
72.172,4.7283
72.728,1.9437
73.297,1.9305
73.859,1.8491
74.412,0.7791
74.990,0.7523
75.553,0.7169
76.152,3.2208
76.759,1.7310
77.323,1.6570
77.869,1.6505
78.406,1.6305
78.925,1.7360
79.517,6.9315
80.058,6.9744
80.607,5.7473
81.133,5.0421
81.729,1.9932
