timestamp,min_front_range_m
0.515,2.6769
1.082,2.6820
1.708,2.7011
2.250,2.6966
3.145,2.6981
4.986,2.6867
6.740,2.6945
8.308,2.7033
10.047,2.7114
11.064,2.6877
11.819,2.6758
12.540,2.7022
13.100,2.6938
13.682,2.6961
14.407,2.6873
14.981,2.6956
15.571,2.7068
16.128,2.6927
17.211,2.6719
18.755,2.6782
20.219,2.6669
21.669,2.6970
23.148,2.6827
24.492,2.6827
25.144,2.7012
25.685,2.7019
26.237,2.6839
26.782,2.6803
27.334,2.6977
27.900,2.7059
28.513,2.6933
30.014,2.6918
30.675,2.6868
31.927,2.6814
33.965,2.6969
35.760,2.6700
37.415,2.6856
38.907,2.6709
39.557,2.6655
40.360,2.7038
41.065,2.6637
41.769,2.6951
42.311,2.6723
42.904,2.6757
43.424,2.6753
44.040,2.6799
44.860,2.6555
46.333,2.6622
47.858,2.6856
49.443,2.6877
50.877,2.6739
52.283,2.6640
53.106,2.6645
53.620,2.6616
54.205,2.6791
54.736,2.6723
55.340,2.6547
55.865,2.6437
56.378,2.6584
56.956,2.6796
57.578,2.6517
58.108,2.6216
58.681,2.6349
60.195,2.6242
61.758,2.6458
63.885,2.6329
65.576,2.6237
66.990,2.6347
67.686,2.6075
68.235,2.6015
68.765,2.6452
69.308,2.6415
69.849,2.6415
70.391,2.6505
70.909,2.6216
71.422,2.6444
71.938,2.6307
72.455,2.6219
72.991,2.6216
73.828,2.6273
75.304,2.6179
76.950,2.5919
78.524,2.5636
80.088,2.5094
81.462,2.4272
81.990,2.3474
82.518,2.2840
83.041,2.2305
83.567,2.1283
84.091,2.0395
84.696,1.9660
85.214,1.8784
85.734,1.7739
86.284,1.6965
86.800,1.6107
88.344,1.5192
89.932,1.4292
91.521,1.3576
93.569,1.2520
95.049,1.1835
96.277,1.0946
96.828,1.0332
97.381,0.9692
98.085,0.8876
98.681,0.8380
99.280,0.7631
99.876,0.6813
100.394,0.6196
100.924,0.5625
101.443,0.5096
102.995,0.4666
104.649,0.4275
106.434,0.3875
108.235,0.3372
109.532,0.2915
110.093,0.3100
110.620,0.4362
111.142,2.5744
111.656,2.8005
112.236,0.4575
112.776,0.3236
