timestamp,min_front_range_m
1.803,2.6916
2.389,2.6789
2.931,2.6933
3.493,2.7061
4.054,2.6834
4.637,2.7036
5.194,2.6913
5.731,2.6737
6.278,2.7038
6.824,2.6694
7.426,2.6743
7.987,2.6757
8.531,2.6799
9.079,2.6931
9.608,2.6758
10.186,2.6973
10.782,2.6785
11.330,2.6865
11.939,2.6945
12.584,2.6773
13.171,2.6741
13.710,2.6948
14.234,2.6696
14.763,2.6931
15.429,2.6894
15.967,2.6649
16.523,2.6885
17.092,2.6785
17.702,2.6901
18.237,2.6918
18.812,2.6811
19.400,2.6779
19.957,2.6759
20.625,2.6961
21.212,2.6655
21.741,2.6802
22.273,2.6612
22.795,2.6508
23.345,2.6509
23.874,2.6498
24.427,2.6752
24.963,2.6488
25.506,2.6526
26.033,2.6292
26.567,2.6244
27.092,2.6478
27.692,2.6259
28.224,2.6270
28.797,2.6176
29.335,2.6198
29.901,2.6282
30.443,2.6194
31.005,2.6382
31.583,2.6382
32.171,2.6192
32.720,2.6172
33.279,2.6026
33.847,2.5097
34.447,2.4536
34.985,2.4156
35.515,2.3568
36.061,4.0002
36.594,4.0209
37.144,4.0197
37.735,4.0904
38.305,4.5084
38.901,5.3893
39.473,5.4223
40.022,5.4632
40.590,5.5464
41.165,4.9514
41.721,3.0548
42.266,2.3313
42.820,2.3097
43.372,2.2839
43.929,1.7966
44.495,1.7746
45.116,1.7282
45.657,1.8488
46.216,1.7160
46.792,1.7072
47.348,1.6575
47.912,4.0813
48.472,4.1012
49.021,4.1047
49.589,4.3361
50.117,5.1039
50.720,6.2892
51.268,6.3518
51.849,6.3898
52.375,5.2217
52.924,2.2847
53.499,2.2777
54.039,2.2918
54.572,1.0649
55.199,1.0247
55.749,0.9869
56.290,1.0164
56.817,1.5053
57.360,1.4611
57.891,1.2657
58.437,1.2679
58.986,1.2396
59.564,1.2344
60.097,4.1862
60.684,4.3265
61.273,4.9806
61.888,6.6318
62.471,7.2068
63.062,7.2489
63.646,2.4516
64.278,2.4301
64.811,0.5931
65.342,0.5885
65.879,0.5572
66.437,0.6182
67.039,0.7832
67.578,0.7695
68.120,0.6876
68.635,0.6540
69.199,0.6146
69.805,0.5957
70.418,1.2253
70.951,1.2143
71.483,1.2409
72.076,1.2350
72.686,5.2167
73.229,7.1971
73.797,8.0549
74.419,0.7303
75.016,0.6664
75.568,0.6611
76.101,0.6606
76.647,0.6296
77.188,0.6087
77.730,0.5809
78.311,0.5736
78.965,0.5743
79.535,0.6051
80.086,0.6430
80.627,0.7250
81.180,0.8871
81.727,1.2637
82.299,1.1586
82.864,1.0652
83.409,0.9752
84.036,0.9737
84.579,0.9659
85.125,0.9619
85.716,0.9783
86.302,0.9953
86.908,1.0130
87.496,1.0255
88.183,2.9987
88.740,2.9808
89.373,2.9682
89.943,2.8987
90.502,1.5571
91.024,1.2718
91.556,1.0972
92.169,0.9800
92.695,0.8733
93.418,0.8134
93.947,0.7598
94.475,0.7071
95.000,0.6880
95.559,0.6720
96.142,0.6159
96.699,0.6134
97.229,0.6022
97.748,0.5867
98.282,0.5519
98.944,0.5499
99.472,0.5372
100.027,0.5320
100.577,0.5176
101.356,0.5073
102.123,0.5086
102.783,0.4958
103.357,0.4972
103.887,0.5101
104.527,0.4903
105.064,0.4890
105.800,0.5083
106.364,0.5019
106.976,0.5097
107.546,0.4963
108.136,0.5033
108.706,0.5095
109.265,0.4872
109.788,0.5227
110.303,0.5324
110.883,0.5623
111.472,0.6238
111.999,0.6825
112.517,0.8045
113.112,0.9440
113.656,1.2532
114.217,1.4226
114.731,1.0237
115.283,0.8741
115.925,0.8525
116.455,0.8636
117.055,0.8727
117.628,0.8945
118.154,0.8897
118.681,0.9098
119.236,1.0286
119.779,1.2396
120.324,4.8105
120.975,4.8230
121.561,2.2203
122.099,1.8824
122.641,1.8626
123.292,1.8526
123.825,1.8256
124.371,1.8078
124.970,1.7951
125.531,1.7920
126.120,1.9360
126.666,4.8532
127.211,4.1472
127.736,3.7063
128.399,3.4333
129.087,1.9247
129.785,0.4869
130.333,0.4720
130.944,0.4474
131.510,0.4543
132.046,0.4421
132.658,0.4476
133.261,0.4553
133.795,0.4548
134.350,0.4359
134.915,0.4427
135.451,0.4363
136.061,0.4474
136.647,0.4596
137.278,0.4852
137.854,0.5119
138.442,0.5263
139.025,0.6240
139.729,0.7239
140.255,0.9022
140.823,1.2453
141.366,1.5241
141.927,1.5607
142.519,1.5908
143.071,1.5996
143.619,1.6142
144.162,1.6286
144.689,1.7727
145.235,1.9735
145.751,5.0305
146.287,5.0385
146.856,1.3589
147.410,1.3216
148.121,1.3346
148.684,1.3207
149.211,1.3297
149.730,1.3021
150.259,1.3089
150.806,1.3338
151.328,8.3454
151.864,8.8551
152.456,8.8455
153.028,4.6403
153.649,3.9335
154.178,3.4752
154.717,3.1588
155.304,2.9338
155.834,2.8402
156.469,2.8307
157.021,2.8358
157.542,1.5644
158.066,1.5497
158.579,1.5627
159.127,1.5613
159.681,1.5746
160.258,1.5491
160.904,1.5495
161.459,1.5370
162.009,1.0693
162.595,1.0198
163.149,1.0336
164.189,1.0555
166.037,1.0749
168.549,1.0935
170.604,1.0942
171.855,1.1070
172.433,1.1306
172.996,2.0007
173.536,2.3842
174.051,2.3927
174.576,2.4131
175.161,2.4625
175.686,2.6433
176.270,1.1868
176.824,1.1359
177.376,1.1310
178.008,1.1302
178.684,1.1518
179.251,1.1486
179.808,1.1494
180.361,1.2920
180.914,5.8369
181.466,6.2873
181.988,6.9785
182.579,7.9977
183.114,8.0515
183.693,8.0325
184.216,8.0058
184.731,3.8399
185.257,3.3311
185.808,3.0082
186.331,2.7514
186.859,2.6004
187.401,2.5029
187.951,2.4454
188.519,2.4557
189.071,2.4400
189.599,2.4394
190.120,2.0462
190.659,1.7311
191.199,1.7165
191.800,1.7078
192.362,1.7356
192.902,1.7342
193.501,1.7522
194.048,1.7600
194.572,1.7551
195.106,1.8621
195.660,1.8834
196.191,1.8955
196.738,1.9129
197.264,1.9306
197.787,1.9512
198.315,3.2093
198.835,1.4658
199.517,1.3688
200.110,1.3568
200.655,1.3876
201.192,1.3767
201.727,1.4090
202.250,1.3959
202.765,1.5582
203.296,5.5133
203.819,5.5358
204.361,5.6371
204.883,5.8548
205.402,6.2191
205.935,6.8033
206.481,7.2830
207.063,7.2737
207.603,7.2594
208.132,7.2361
208.679,7.2266
209.324,3.2369
209.897,2.8151
210.443,2.5836
211.004,2.3899
211.529,2.2928
212.097,2.2336
212.649,2.2122
213.237,2.2067
214.064,2.2052
214.686,2.1990
215.212,2.1955
215.759,2.1909
216.319,2.1755
216.889,2.1982
217.414,2.2054
217.958,2.2128
218.527,2.2380
219.087,2.2456
219.651,2.2485
220.239,2.2636
220.778,2.6787
221.350,2.6946
221.912,2.7230
222.716,1.9082
223.390,1.8830
223.920,1.9061
224.462,1.9272
225.218,1.9354
225.859,1.9465
226.589,1.9612
227.237,2.1378
227.778,5.7515
228.364,5.7383
229.046,5.7431
229.759,5.7828
